Unnamed: 0,Title,Price,Area,Category,Size,Bedrooms,Bathrooms,Price_Category,Price_per_sqft
350,CHEAP! BELOW MV! Tasik Heights Apartment Bandar Tasik Selatan,270000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,316.1592505854801
351,Below Market Value Tasik Height Apartment,310000,BANDAR TASIK SELATAN,Apartments,854,2,2,Low,362.9976580796253
352,"Mulakan kehidupan dengan memiliki pangsapuri kos rendah, bts",225000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,346.15384615384613
353,[LEVEL 2][HOT UNIT]Tasik Heights Apartment Bandar Tasik Selatan,290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
354,[ LOW LEVEL 2 ] Tasik Heights Apartment Bandar Tasik Selatan BTS,290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
355,"FULL LOAN | BOOKING Rm1k Tasik Heights Apartment, Bandar Tasik Selatan",290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
356,"1st Floor, 1089 sqft, Furnish, Anyaman Residence, Bandar Tasik Selatan",650000,BANDAR TASIK SELATAN,Apartments,1089,4,2,Low,596.8778696051423
357,(TINGKAT 2) Tasik Heights Apartment Bandar Tasik Selatan KL,290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
358,[Well Maintained] Apartment Desa Tasik Fasa 1A Bandar Tasik Selatan,240000,BANDAR TASIK SELATAN,Apartments,861,3,2,Low,278.74564459930315
359,Pangsapuri Kos Rendah Bdr Tasik Selatan,235000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,361.53846153846155
360,"Pangsapuri Taman tasik selatan, bandar tasik selatan",185000,BANDAR TASIK SELATAN,Apartments,650,3,2,Low,284.61538461538464
361,"Lower Unit!!! Tasik Heights Apartment, Bandar Tasik Selatan, KL",290000,BANDAR TASIK SELATAN,Apartments,854,3,2,Low,339.57845433255267
