Unnamed: 0,Title,Price,Area,Category,Size,Bedrooms,Bathrooms,Price_Category,Price_per_sqft
2225,0% DOWNPAYMENT Pangsapuri Indah Mas 829SF Cheras 3R1B BELOW MARKET,275000,CHERAS,Apartments,829,3,1,Low,331.72496984318457
2226,[BELOW MARKET] Suasana Lumayan Condominium Permaisuri Cheras near LRT,528000,CHERAS,Apartments,1142,4,2,Low,462.34676007005254
2227,[ 0% d/p + Complete 2021] Cheras Condo 3Room 2Bath Freehold,424000,CHERAS,Apartments,1269,3,2,Low,334.12135539795116
2228,Low Density 15 Floor Concept] Cheras Condo,403000,CHERAS,Apartments,1327,3,2,Low,303.6925395629239
2229,[Low Density 15 Floor Concept] Cheras Condo Free Partial furnishes,408000,CHERAS,Apartments,1327,3,2,Low,307.46043707611153
2230,[NEW] The Hamstead Desa Tun Razak 950sf 2 Parking BELOW MV 100% LOAN,400000,CHERAS,Apartments,950,3,2,Low,421.05263157894734
2231,Near LRT! Bayu Tasik Condominium Bandar Sri Permaisuri Cheras KL,385000,CHERAS,Apartments,920,3,2,Low,418.4782608695652
2232,[ WALKING DISTANCE TO LRT ] Putra Suria Residensi Cheras KL,320000,CHERAS,Apartments,748,3,2,Low,427.80748663101605
2233,"Below market Eko cheras duplex, FREEHOLD, Cheras MRT, 100%loan",475000,CHERAS,Apartments,762,1,2,Low,623.3595800524935
2234,[Lift]Umah Mampu Milik Bln RM750 Mahkota Cheras Pangsapuri Teratai,175000,CHERAS,Apartments,660,3,2,Low,265.1515151515151
2235,"BIG SIZE NON BUMI 2 Car Park Monte Bayu Condo , Kg Cheras Baru",480000,CHERAS,Apartments,1135,3,2,Low,422.90748898678413
2236,MRT SUPER BELOW MARKET Vila Vista Cheras Tmn Pertama Pandan Perdana,875000,CHERAS,Apartments,1672,5,4,Low,523.3253588516747
2237,The Hamstead Desa Tun Razak 947sf 3r2b BELOW MARKET 100% LOAN,405000,CHERAS,Apartments,947,3,2,Low,427.6663146779303
2238,"Condominium Tasik Vista, Bandar Tun Hussein Onn, Level 7, 2 Parking",499000,CHERAS,Apartments,1050,3,2,Low,475.23809523809524
2239,Seri Cendekia Condo Taman Connaught 967sf Below Market Low Booking,255000,CHERAS,Apartments,967,3,2,Low,263.70217166494314
2240,Taman Kobena apartment For Sale,158000,CHERAS,Apartments,570,2,1,Low,277.1929824561403
2241,Suria Court Mahkota Cheras,329000,CHERAS,Apartments,1104,2,2,Low,298.0072463768116
2242,"LOW LEVEL - Sri Penara Apartment, Bandar Permaisuri, Cheras, K.L",245000,CHERAS,Apartments,650,3,2,Low,376.9230769230769
2243,Walking distance to LRT Station Cheras! kitchen cabinet! KLCC view!,320000,CHERAS,Apartments,748,3,2,Low,427.80748663101605
2244,"Bayu Tasik 2, Jalan Sri Permaisuri 5, Bandar Sri Permaisuri, Cheras",360000,CHERAS,Apartments,930,3,2,Low,387.0967741935484
2245,The Holmes 2 Condominium Near HUKM Bandar Sri Permaisuri Tun Razak KL,420000,CHERAS,Apartments,943,3,2,Low,445.38706256627785
2246,"Venice hill condominium,taman kemacahaya,batu 9,cheras,near mrt suntex",250000,CHERAS,Apartments,1538,3,2,Low,162.5487646293888
2247,"Cemara Apartment, Bandar Sri Permaisuri, Cheras,Strata Ready&Near LRT",330000,CHERAS,Apartments,750,3,2,Low,440.0
2248,"[Nicely Renovated] Apartment Desa Tun Razak, Cheras",200000,CHERAS,Apartments,668,2,1,Low,299.4011976047904
2249,"Cemara apartment, bandar sri permaisuri",295000,CHERAS,Apartments,732,3,2,Low,403.0054644808743
2250,"[ BOOKING RM1000 ] Pangsapuri Waja, Taman Tun Perak, Cheras KL",215000,CHERAS,Apartments,818,3,2,Low,262.8361858190709
2251,"Bam villa, cheras",234900,CHERAS,Apartments,936,3,2,Low,250.96153846153845
2252,"Monthly Instalment rm1050, Near MRT & LRT station,Near Sunway Velocity",300000,CHERAS,Apartments,850,3,2,Low,352.94117647058823
2253,RENO | Bayu Tasik 1 | Sri Permaisuri | 100% FULL LOAN | BELOW PRICE,370000,CHERAS,Apartments,920,3,2,Low,402.17391304347825
2254,Seri Cendekia Condo Taman Connaught Cheras KL,280000,CHERAS,Apartments,967,3,2,Low,289.5553257497415
2255,[VP 2022 Q1 + Monthly start RM1800] FREEHOLD Cheras Condo | Rebate,389000,CHERAS,Apartments,1249,3,2,Low,311.449159327462
2256,"Cheras Ria Apartment, 600sf, 3r1b Reno [100% Loan Below Market]",148000,CHERAS,Apartments,600,3,1,Low,246.66666666666666
2257,"Flat Taman Kobena, Cheras KL - near LRT/MRT",170000,CHERAS,Apartments,570,2,1,Low,298.2456140350877
2258,Bayu Tasik Kondo Lrt Salak Selatan Cheras Near HUKM,329999,CHERAS,Apartments,926,3,2,Low,356.3704103671706
2259,TERMURAH || LEVEL 1 - Pangsapuri Lestari Bandar Sri Permaisuri Cheras,320000,CHERAS,Apartments,820,3,2,Low,390.2439024390244
2260,"Ketumbar Height Cheras 920SFT , Yulek , Jalan Kuari , Taman Muda",295000,CHERAS,Apartments,920,4,2,Low,320.6521739130435
2261,Mandarina Court Connaught Cheras KL UCSI FULL LOAN 1K Down Payment,299000,CHERAS,Apartments,780,3,2,Low,383.3333333333333
2262,Maluri Manor Apartment Casa Ria Pandan Jaya Shamelin Cheras,348000,CHERAS,Apartments,930,3,2,Low,374.19354838709677
2263,Sri Bayu Apartment | Cheras Batu 9 | 3 Bedroom | Best Condition,160000,CHERAS,Apartments,800,3,2,Low,200.0
2264,[NEGO]Putra Suria Residensi Cheras Kuala Lumpur,320000,CHERAS,Apartments,748,3,2,Low,427.80748663101605
2265,Midah Ria Condominium,350000,CHERAS,Apartments,966,3,2,Low,362.3188405797101
2266,Taman megah cheras nice apartment(4rd floor),115000,CHERAS,Apartments,550,2,1,Low,209.0909090909091
2267,Facing Lake Astana Lumayan Cheras Condominium 4 Bedrooms,475000,CHERAS,Apartments,1207,4,3,Low,393.5376967688484
2268,"MURAH CORNER LOT The Holmes 2, Bandar Tun Razak, Cheras, Kuala Lumpur",440000,CHERAS,Apartments,979,3,2,Low,449.438202247191
2269,"Apartments cheras intan. (mrt suntex), freehold",300000,CHERAS,Apartments,850,3,2,Low,352.94117647058823
2270,"Mewah Court Apartment, Tmn Cheras Mewah",265000,CHERAS,Apartments,904,3,2,Low,293.14159292035396
2271,[FULLY RENOVATED]Taman Kobena Apartment Cheras 600M To MRT Station,159000,CHERAS,Apartments,570,2,1,Low,278.94736842105266
2272,[FREEHOLD 3 BEDROOMS]Cheras Ria Apartment Near Pantai Cheras Hospital,148000,CHERAS,Apartments,575,2,1,Low,257.39130434782606
2273,"High Value - Sri Penara, Bandar Sri Permaisuri, Cheras KL",260000,CHERAS,Apartments,650,3,2,Low,400.0
2274,FREEHOLD Below MV Pangsapuri Seri Murni Cheras KL,218000,CHERAS,Apartments,829,3,2,Low,262.9674306393245
2275,BOOKING RM1K | Putra Suria Sri Permaisuri Cheras KL (DEPOSIT NEGO ),330000,CHERAS,Apartments,748,3,2,Low,441.1764705882353
2276,"Mewah Court, Taman Cheras Mewah, Suria Jaya, End Lot",258000,CHERAS,Apartments,888,3,2,Low,290.5405405405405
2277,[below market 150k]axis crown walkable lrt brand new cempaka kl,293000,CHERAS,Apartments,890,2,2,Low,329.2134831460674
2278,FULL LOAN 3K BOOK Tiara Hatamas Condo Cheras renovated STRATA ready!,440000,CHERAS,Apartments,923,3,2,Low,476.7063921993499
2279,Anggun lumayan bandar sri permaisuri,450000,CHERAS,Apartments,1100,3,2,Low,409.09090909090907
2280,Sri Penara Apartment Bandar Sri Permaisuri Cheras,260000,CHERAS,Apartments,657,3,2,Low,395.73820395738204
2281,"Cloud view tower condo, Taman Supreme, Cheras, 1550sf LOW DENSITY",470000,CHERAS,Apartments,1550,3,3,Low,303.2258064516129
2282,"Must sell apartment at low occupancy in cheras near KL, PJ, Balakong",265000,CHERAS,Apartments,667,3,2,Low,397.30134932533736
2283,Pangsapuri Indah Mas CHERAS Cantik RENO Nerby VIVA Mall,280000,CHERAS,Apartments,732,3,1,Low,382.5136612021858
2284,[ MCO promo ] KLCC VIEW Bayu Tasik 2 Condo CHERAS Bdr Sri Permaisuri,360000,CHERAS,Apartments,947,3,2,Low,380.1478352692714
2285,LUXURY PENTHOUSE DUPLEX 4177SQFT SILK RESIDENCE CHERAS KUALA LUMPUr,850000,CHERAS,Apartments,4177,6,7,Low,203.49533157768732
2286,"[Renovated][Fully Furnished] Cemara Apartment, Bdr Sri Permaisuri",340000,CHERAS,Apartments,750,3,2,Low,453.3333333333333
2287,Booking 1k Low Depo New Unit Hamstead Condo Bandar Tun Razak,420000,CHERAS,Apartments,950,3,2,Low,442.10526315789474
2288,[FULL LOAN] EkoCheras Duplex 762sf Cheras MRT 100% LOAN [BELOW MARKET],465000,CHERAS,Apartments,762,1,1,Low,610.2362204724409
2289,RP flat at Lembah Maju near Pandan Indah Taman Muda Ampang LRT KLCC,145000,CHERAS,Apartments,570,2,1,Low,254.3859649122807
2290,Altitude 236 Semi-Condominium ( Corner unit )1800sqft,770000,CHERAS,Apartments,1800,5,4,Low,427.77777777777777
2291,Prisma Perdana Condo at Taman Midah Cheras HUKM,305000,CHERAS,Apartments,837,3,2,Low,364.39665471923536
2292,"Cengal Condo Bandar Sri Permaisuri, Tun Razak, HUKM, Taman Midah MRT",380000,CHERAS,Apartments,927,3,2,Low,409.9244875943905
2293,Segar View Condo near MRT Taman Segar Leisure Mall,520000,CHERAS,Apartments,922,3,2,Low,563.9913232104121
2294,Midah freehold 1250 sqft fully renovated jasmine court apartment,365000,CHERAS,Apartments,1250,3,2,Low,292.0
2295,Segar Ria Apartment Cheras Ampang KL Below Market Price,160000,CHERAS,Apartments,655,3,2,Low,244.27480916030535
2296,"Glenview Villa near Yulek, Taman Muda, Cheras Kampung Baru, MRR2 KLCC",300000,CHERAS,Apartments,1138,3,2,Low,263.62038664323376
2297,"Miharja Apartment Fasa 1 near Cheras Maluri, Velocity, MRT, LRT, IKEA",210000,CHERAS,Apartments,581,2,1,Low,361.4457831325301
2298,Ready Unit[1609sqft 24x75 ] FREEHOLD Townhouse NEAR KL|Cash Back RM53k,478000,CHERAS,Apartments,1609,3,3,Low,297.0789310130516
2299,"1,222sqft |FREEHOLD Condo CHERAS NEAR KL| READY TO MOVE IN | CASH BACK",439261,CHERAS,Apartments,1222,3,2,Low,359.4607201309329
2300,FREEHOLD Pure Residential /Cheras Condo /Dual Balcony /Monthly RM1700,385024,CHERAS,Apartments,1211,3,2,Low,317.93889347646575
2301,[Ready 2021 Hot Sales Cheras Condo] 1300sqft Free All Fees,402000,CHERAS,Apartments,1300,3,2,Low,309.2307692307692
2302,0% DOWNPAYMENT Amaya Maluri 719SF Maluri Cheras 2R2B BELOW MV+RENO,440000,CHERAS,Apartments,719,2,2,Low,611.961057023644
2303,Cengal Condo Bandar Sri Permaisuri Cheras HUKM Tasik Selatan Below Mv,365000,CHERAS,Apartments,927,3,2,Low,393.74325782092774
2304,"(Balcony Cantik) Maxim Residence, Leisure Mall, Connaught, Alam Damai",415000,CHERAS,Apartments,900,2,2,Low,461.1111111111111
2305,"[Balcony Unit] Maxim Residence, Cheras, Leisure Mall, Connaught",430000,CHERAS,Apartments,900,2,2,Low,477.77777777777777
2306,"Samelin Star Residence, Tmn Shamelin , Cheras",590000,CHERAS,Apartments,942,3,2,Low,626.3269639065818
2307,Dekat LRT | RENOVATED + FURNISHED | Cemara Apartment Cheras,340000,CHERAS,Apartments,750,3,2,Low,453.3333333333333
2308,Vista Hatamas Apartment 851sqf Bukit Hatamas Cheras RENO 100%loan KL,279999,CHERAS,Apartments,851,3,2,Low,329.0235017626322
2309,"[✨FULLY RENOVATED✨] Glenview Villa, Cheras, Fully Furnished",350000,CHERAS,Apartments,1138,3,2,Low,307.5571177504394
2310,"Hill Top Monte Bayu Condo, Kg Cheras Baru, Cheras",399000,CHERAS,Apartments,1135,3,2,Low,351.54185022026434
2311,"Villa seri puteri condominium, taman kobena, cheras",475000,CHERAS,Apartments,1300,3,2,Low,365.38461538461536
2312,"(FREEHOLD, 1538SQFT)- Venice Hill Condo, Cheras Kuala Lumpur",250000,CHERAS,Apartments,1538,3,2,Low,162.5487646293888
2313,Below Market Taman Orkid Shop Apartment (full Loan can be arranaged ),180000,CHERAS,Apartments,730,3,1,Low,246.57534246575344
2314,"Puncak Banyan Condo - UCSI, Cheras, Connaught, TBS, LRT",360000,CHERAS,Apartments,810,3,2,Low,444.44444444444446
2315,Ketumbar Height Jln Kuari CHeras RIa Taman Muda,299000,CHERAS,Apartments,920,4,2,Low,325.0
2316,Astaka Heights 1119sqf Cheras NIce condition Reno 100%loan KL hot area,380000,CHERAS,Apartments,1119,3,2,Low,339.58891867739055
2317,[100% Loan]* Silk Residence Own Stay Cheras Selatan C180 Cash Back,299000,CHERAS,Apartments,942,3,2,Low,317.40976645435245
2318,GOOD CONDITION Bayu Tasik Condo 1 Bandar Sri Permaisuri Cheras,379000,CHERAS,Apartments,920,3,2,Low,411.95652173913044
2319,Vina Residency Cheras Seri Taming Len Seng 1250sf RENOVATED 100%LOAN,420000,CHERAS,Apartments,1250,3,2,Low,336.0
2320,FREEHOLD Prima Midah Heights Condominium Taman Midah Cheras Kl Mrt,555000,CHERAS,Apartments,1461,4,2,Low,379.87679671457903
2321,"Apartment vista hatamas,taman bukit hatamas,cheras,level 2 & renovated",295000,CHERAS,Apartments,850,3,2,Low,347.05882352941177
2322,Corner unit! Vista Perdana Condominium Pandan Perdana KL Untuk Dijual,438000,CHERAS,Apartments,980,3,2,Low,446.9387755102041
2323,Casa Green Condo Cheras Seri Taming Bandar Tun Hussein Onn 100%Loan FF,560000,CHERAS,Apartments,1875,5,4,Low,298.6666666666667
2324,"Cheras Taman Midah Duplex Condo with 3Room 2Bath, 5min to MRT,KLCC Vie",430000,CHERAS,Apartments,900,3,2,Low,477.77777777777777
2325,"KL Cheras, Taman Koperasi, Brand New, completed move in condition",388800,CHERAS,Apartments,1110,3,3,Low,350.27027027027026
2326,"Cheras, Taman Koperasi Maju Jaya, Near MRT, Landed Town house 2sty",579000,CHERAS,Apartments,1460,3,3,Low,396.5753424657534
2327,"Cheras,Sri Permaisuri,Bukit Jalil,Salak South,Bandar Tun Razak",519000,CHERAS,Apartments,1104,4,3,Low,470.10869565217394
2328,Shamelin Star 3r2b P/F Taman Shamelin Cheras Kuala Lumpur(Cheapest),590000,CHERAS,Apartments,941,3,2,Low,626.9925611052072
2329,2 PARKING FREEHOLD Dallas Villa Condominium 1000 sqft,359000,CHERAS,Apartments,1000,3,2,Low,359.0
2330,Condo Vista Perdana 8 mins LRT MRT Pandan Perdana,335000,CHERAS,Apartments,950,3,2,Low,352.63157894736844
2331,"LOW DEPOSIT | Venice Hill Condominium,Taman Kemacahaya, Batu 9, Cheras",250000,CHERAS,Apartments,1538,3,2,Low,162.5487646293888
2332,Rumah Pangsa Segar Perdana w/ Lift GoodCondition Cheras Econsave KL,148000,CHERAS,Apartments,650,3,2,Low,227.69230769230768
2333,[Low Density + Residential Title] Cheras Condo Last Unit 1200sqft 3R2B,421000,CHERAS,Apartments,1200,3,2,Low,350.8333333333333
2334,Cheras Awana Apartment Near Taman Ceupacs Segar Perdana [Ground Floor],233000,CHERAS,Apartments,750,2,2,Low,310.6666666666667
2335,Scenic & Strategic Pandan Lake View Apartment Cheras KL,270000,CHERAS,Apartments,856,3,2,Low,315.42056074766356
2336,"Green Terrain (Prima Villa) Condo Cheras, KL",548000,CHERAS,Apartments,1368,3,2,Low,400.58479532163744
2337,"Aliran Damai Bandar Damai Perdana, Cheras Alam Damai Len Sen",339000,CHERAS,Apartments,945,3,2,Low,358.73015873015873
2338,"(Super Below Market Price!!!) Cheras Height Condo ,Cheras Bukit Cheras",495000,CHERAS,Apartments,1394,3,2,Low,355.09325681492106
2339,"Puncak Banyan Condo, Taman Connaught, Cheras Kuala Lumpur",320000,CHERAS,Apartments,810,3,2,Low,395.0617283950617
2340,Connaught Avenue,350000,CHERAS,Apartments,958,3,2,Low,365.3444676409186
2341,3th floor Renovated Pangsapuri Waja Taman Tun Perak Cheras,235000,CHERAS,Apartments,820,3,2,Low,286.5853658536585
2342,"LIMITED UNIT PENTHOUSE,Pangsapuri Cheras Utama .Cheras Kuala Lumpur",445000,CHERAS,Apartments,1751,5,3,Low,254.14049114791547
2343,"GrdFloor,Fully furnished, Renovated apartment Taman Suria Jaya, Cheras",130000,CHERAS,Apartments,600,2,1,Low,216.66666666666666
2344,BRAND NEW CONDO | THE HOLMES 2 Bandar Tun Razak~Cheras~Kuala Lumpur,455000,CHERAS,Apartments,979,3,2,Low,464.7599591419816
2345,"Below MV - Tasik Heights Apartment, Cheras",270000,CHERAS,Apartments,854,3,2,Low,316.1592505854801
2346,J Dupion Residence,900000,CHERAS,Apartments,1225,3,2,Low,734.6938775510204
2347,"[[ LAKE VIEW ]] Astana Lumayan Condominium, Bandar Sri Permaisuri, KL",475000,CHERAS,Apartments,1207,4,2,Low,393.5376967688484
2348,"Shop house taman seri cendekia, cheras kl for sale!",140000,CHERAS,Apartments,805,3,2,Low,173.91304347826087
2349,"Cheras Ria Apartment, Taman Cheras Utama, Kuala Lumpur",165000,CHERAS,Apartments,570,3,1,Low,289.4736842105263
2350,"Astaka Heights Condo, Pandan Perdana, Ampang, BELOW MKT PRICE",369000,CHERAS,Apartments,1120,3,2,Low,329.4642857142857
2351,[BELOW MARKET] Prisma Cheras Condo Taman Midah Cheras Freehold,266666,CHERAS,Apartments,750,2,2,Low,355.55466666666666
2352,"Arte Cheras, 1013sf 3room2bath",577000,CHERAS,Apartments,1013,3,2,Low,569.5952615992103
2353,"Maxim Residences, Alam Damai, Cheras",400000,CHERAS,Apartments,855,2,2,Low,467.8362573099415
2354,"Glenview villa condo, Tenanted, 3room with KL View, Cheras",350000,CHERAS,Apartments,1038,3,2,Low,337.1868978805395
2355,"Suasana Lumayan condo, Bdr sri permaisuri",500000,CHERAS,Apartments,1142,3,2,Low,437.82837127845886
2356,"One residence Chan sow lin, Sg Besi 3room in KL City, Cheras MRT",490000,CHERAS,Apartments,910,3,2,Low,538.4615384615385
2357,"Seri Mas condo, Cheras, Bandar Permaisuri, LRT Cheras, Well kept unit",250000,CHERAS,Apartments,840,2,1,Low,297.6190476190476
2358,Maxim Residence Condo 1R1B F/P Taman Connaught KL,320000,CHERAS,Apartments,678,1,1,Low,471.976401179941
2359,"Pangsapuri Segar Ria, Cheras. LOW DEPOSIT Near School, Leisure mall",150000,CHERAS,Apartments,650,3,2,Low,230.76923076923077
2360,Green Residence 4room 4carpark below market cash back 120K,600000,CHERAS,Apartments,1611,4,5,Low,372.43947858472995
2361,"Tasik vista residen, bandar tun hussein onn cheras",540000,CHERAS,Apartments,1050,3,2,Low,514.2857142857143
2362,Vistana Mahkota 953sf Bandar Mahkota Cheras BELOW MARKET PRICE F/LOAN,250000,CHERAS,Apartments,953,3,2,Low,262.3294858342078
2363,Vista Hatamas Apartment 851sf Bukit Hatamas Below Market Low Booking,258000,CHERAS,Apartments,851,3,2,Low,303.17273795534663
2364,Cheras Heights hill-top condo,598000,CHERAS,Apartments,1478,4,2,Low,404.60081190798377
2365,"FREEHOLD Apartment Green Suria, Bandar Tun Hussein Onn, Cheras",385000,CHERAS,Apartments,1212,3,2,Low,317.65676567656766
2366,"PARTLY FURNISHED Cemara Apartment, Bandar Sri Permaisuri, Cheras KL",330000,CHERAS,Apartments,750,3,2,Low,440.0
2367,NON BUMI LOT Cemara Apartment Bandar Sri Permaisuri Cheras KL,330000,CHERAS,Apartments,750,3,2,Low,440.0
2368,Puncak Banyan Condo 820sf Cheras Beside UCSI BELOW MARKET FULL LOAN,300000,CHERAS,Apartments,820,3,2,Low,365.8536585365854
2369,Cheap seri puteri condominium for sale,500000,CHERAS,Apartments,1063,3,3,Low,470.36688617121354
2370,"The Holmes 1, Bandar Tun Razak, Cheras",518000,CHERAS,Apartments,1018,3,2,Low,508.8408644400786
2371,"Condominium bayu tasik, bandar sri permaisuri cheras",395000,CHERAS,Apartments,920,3,2,Low,429.3478260869565
2372,Condominium Suasana Lumayan Bandar Sri Permaisuri Cheras Kuala Lumpur,480000,CHERAS,Apartments,1142,4,2,Low,420.3152364273205
2373,Vina Residency Cheras Seri Taming Len Seng 1550sf FULL LOAN 2Carpark,560000,CHERAS,Apartments,1550,3,2,Low,361.2903225806452
2374,"Maxim Residence, Taman Connaught near MRT station, UCSI, Leisure Mall",450000,CHERAS,Apartments,1050,3,2,Low,428.57142857142856
2375,Bayu Tasik Condo Permaisuri Cheras KL 965sf Below Market Low Booking,335000,CHERAS,Apartments,965,3,2,Low,347.1502590673575
2376,STRATEGIC MURAH Apartment Sri Penara Bandar Sri Permaisuri Cheras,240000,CHERAS,Apartments,650,3,2,Low,369.2307692307692
2377,||100% LOAN || Apartment Cheras Utama Taman Cheras Utama,260000,CHERAS,Apartments,883,3,2,Low,294.4507361268403
2378,Cengal Condo Bandar Sri Permaisuri Cheras 2car park 100%Loan CORNER,430000,CHERAS,Apartments,1200,3,2,Low,358.3333333333333
2379,Bayu Tasik 2 Condo Bandar Sri Permaisuri Cheras BELOW MARKET FURNISHED,370000,CHERAS,Apartments,950,3,2,Low,389.4736842105263
2380,"Cengal Condo,Bandar Sri Permaisuri, Fully Furniture",388000,CHERAS,Apartments,927,3,2,Low,418.554476806904
2381,Serimas Condo Pearl Tower 15 Floor (SALE),310000,CHERAS,Apartments,960,3,2,Low,322.9166666666667
2382,Vista Amani Condo Bandar Sri Permaisuri Cheras KL 1101sf Below Market,380000,CHERAS,Apartments,1101,4,2,Low,345.14078110808356
2383,GOOD UNIT Mentari Condominium Bandar Sri Permaisuri Cheras,410000,CHERAS,Apartments,1025,3,2,Low,400.0
2384,BEST PRICE STRATEGIC Apartment Sri Penara Bandar Sri Permaisuri Cheras,240000,CHERAS,Apartments,650,3,2,Low,369.2307692307692
2385,The sky residensi 2r2b1c p/f taman maluri shamelin (best deal),475000,CHERAS,Apartments,604,2,2,Low,786.4238410596026
2386,"RUMAH CANTIK | Lestari Apartment, Bandar Sri Permaisuri, Cheras",320000,CHERAS,Apartments,820,3,2,Low,390.2439024390244
2387,Sri Penara Apartment Bandar Sri Permaisuri Cheras KL,215000,CHERAS,Apartments,650,3,2,Low,330.7692307692308
2388,RENOVATED | Astana Lumayan Condo Bandar Sri Permaisuri Cheras KL,520000,CHERAS,Apartments,1203,4,2,Low,432.25270157938485
2389,[GROUND FLOOR] Bayu Tasik 2 Kondominium Bandar Sri Permaisuri Cheras,460000,CHERAS,Apartments,956,3,2,Low,481.1715481171548
2390,"Puncak Banyan Condominium, Taman Connaught, Cheras",320000,CHERAS,Apartments,810,3,2,Low,395.0617283950617
2391,Puncak banyan condo/ new reno rm 30k / usci/ high roi,345000,CHERAS,Apartments,810,3,2,Low,425.9259259259259
2392,VISTA Amani Condominium~Bandar Sri Permaisuri~Cheras~Kuala Lumpur,450000,CHERAS,Apartments,1100,3,2,Low,409.09090909090907
2393,Miharja residensi cheras kl ,300000,CHERAS,Apartments,859,3,2,Low,349.2433061699651
2394,Glen View Villa Renovated & Furnished Cheras,350000,CHERAS,Apartments,1138,3,2,Low,307.5571177504394
2395,FULL LOAN 2K BOOK Pangsapuri Segar Ria Cheras near MRT boleh LOW COST,195000,CHERAS,Apartments,650,3,2,Low,300.0
2396,J.Dupion Residence Corner Unit For Sale,1250000,CHERAS,Apartments,1556,4,4,Low,803.3419023136247
2397,Taman minang ria cheras nr bdr.tun hussien onn,137000,CHERAS,Apartments,650,3,2,Low,210.76923076923077
2398,Bukit segar cheras lesui mall,165000,CHERAS,Apartments,656,3,2,Low,251.52439024390245
2399,Segar Apartment / Freehold / Corner Unit / Renovated / Below Market,350000,CHERAS,Apartments,1000,3,2,Low,350.0
2400,[BELOW MARKET] Prisma Cheras Condo Taman Midah Cheras Freehold,768000,CHERAS,Apartments,1850,3,3,Low,415.13513513513516
2401,Cheras FreeHold Townhouse Ready Move 2022[Rebate 19%+100% Full Loan],425300,CHERAS,Apartments,1240,3,2,Low,342.98387096774195
2402,[ SIZE 1364 SF ] Suasana Lumayan Condo Bandar Sri Permaisuri Tun Razak,525000,CHERAS,Apartments,1364,4,2,Low,384.8973607038123
2403,0%Downpayment Langat Jaya Condo 938SF Cheras Batu 9 Below Market,275000,CHERAS,Apartments,937,3,2,Low,293.48986125933834
2404,Lestari Apartment Bandar Sri Permaisuri [reno+nego],360000,CHERAS,Apartments,820,3,2,Low,439.0243902439024
2405,Rumawip Maluri Cheras NearBy Sunway Velocity,300000,CHERAS,Apartments,859,3,2,Low,349.2433061699651
2406,RUMAH CANTIK Penthouse Silk Residence Balakong Cheras,850000,CHERAS,Apartments,4177,6,5,Low,203.49533157768732
2407,Rumawip Miharja Cheras KL 859sf Aeon Maluri Sunway Velocity Cheras MRT,300000,CHERAS,Apartments,859,3,2,Low,349.2433061699651
2408,Pangsapuri waja 818SF Taman Tun perak semi furnish FULL LOAN,210000,CHERAS,Apartments,818,3,2,Low,256.7237163814181
2409,BOOKING 1K! LOW LEVEL Sri Penara Apartment Cheras Kuala Lumpur,245000,CHERAS,Apartments,650,3,2,Low,376.9230769230769
2410,Bayu Tasik 2 Condo Bandar Sri Permaisuri Cheras 100%Loan BELOW MARKET,380000,CHERAS,Apartments,950,3,2,Low,400.0
2411,Cengal Condo Bandar Sri Permaisuri Cheras LRT 2cp CORNER BELOW MARKET,430000,CHERAS,Apartments,1200,3,2,Low,358.3333333333333
2412,Vina Residency Cheras Seri Taming Len Seng 1250sf 100%Loan BELOW MAKET,420000,CHERAS,Apartments,1250,3,2,Low,336.0
2413,RENOVATED | Sri Penara Apartment Bandar Sri Permaisuri Kuala Lumpur,289000,CHERAS,Apartments,650,3,2,Low,444.61538461538464
2414,[VP 2022 Q1 + Monthly start RM1800] Luxury Cheras Condo | 0%D/P,398320,CHERAS,Apartments,1222,3,2,Low,325.9574468085106
2415,Ketumbar Height Cheras Baru KL Jln Kuari Tmn Muda,300000,CHERAS,Apartments,911,4,2,Low,329.3084522502744
2416,TERMURAH Puncak Banyan Condo Taman Connaught Cheras LUAS FREEHOLD,320000,CHERAS,Apartments,810,3,2,Low,395.0617283950617
2417,With Balcony & 2 Car Parks Maxim Residence Len Seng Cheras Sentral MRT,398000,CHERAS,Apartments,885,2,2,Low,449.71751412429376
2418,"Taman maluri apartment jalan perkasa 1, 650sf level 4 top floor",185000,CHERAS,Apartments,650,2,1,Low,284.61538461538464
2419,Cengal Condo Permaisuri Cheras HUKM Tasik Selatan LRT Velocity NonBumi,380000,CHERAS,Apartments,927,3,2,Low,409.9244875943905
2420,"Pangsapuri Cantik, Cantik Apartment Taman Bukit Ria, Cheras",330000,CHERAS,Apartments,1270,4,2,Low,259.84251968503935
2421,"{Promotion Promotion}Cheras Condo, Near MRT, Freehold{RM1700+ Monthly}",389900,CHERAS,Apartments,1220,3,2,Low,319.59016393442624
2422,Cheras Unblock View [HOC 2021] PARTIAL FURNISHED AND RENOVATED Condo,389860,CHERAS,Apartments,1210,3,2,Low,322.198347107438
2423,[LEVEL 2 WITH LIFT]Mewah Court Taman Mewah Cheras KL,260000,CHERAS,Apartments,880,3,2,Low,295.45454545454544
2424,"Pangsapuri Lestari Apartment, Bandar Sri Permaisuri, Cheras, KL",310000,CHERAS,Apartments,830,3,2,Low,373.49397590361446
2425,"Bam Villa Condominium Taman Maluri, Cheras, KL",235000,CHERAS,Apartments,936,3,3,Low,251.06837606837607
2426,"[Booking RM1,000] Cemara Apartment, Bandar Sri Permaisuri, Cheras",320000,CHERAS,Apartments,750,3,2,Low,426.6666666666667
