Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"Casa Green Condominium, Bukit Jalil KL",500000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
"Bukit OUG Condo Bukit Jalil SPACIOUS, RENOVATED, BEST DEAL",400000,BUKITJALIL,Apartments,1478 sq.ft.,3 Bedrooms,2 Bathrooms
Facing golf course | anjung hijau greenfields apartment,499000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"The Links 2 Residences Fully Furnished Studio For Sale, Bukit Jalil",520000,BUKITJALIL,Apartments,668 sq.ft.,2 Bedrooms,1 Bathroom
"CORNER UNIT & RENOVATED Bukit OUG Condo, Bukit Jalil",400000,BUKITJALIL,Apartments,1487 sq.ft.,3 Bedrooms,2 Bathrooms
"PANGSAPURI SRI RAKYAT,pangsapuri kos rendah terletak di BUKIT JALIL",200000,BUKITJALIL,Apartments,660 sq.ft.,3 Bedrooms,2 Bathrooms
Fortune Park Apartment Taman Serdang Perdana,335000,BUKITJALIL,Apartments,1109 sq.ft.,3 Bedrooms,2 Bathrooms
Strategic location Good condition Link 2 Bukit Jalil Kuala Lumpur,530000,BUKITJALIL,Apartments,667 sq.ft.,2 Bedrooms,1 Bathroom
Bukit Jalil [Freehold Fully Furnished] Below Market Value Condo,500000,BUKITJALIL,Apartments,1000 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEST CONDO bukit OUG bikit jalil CORNER UNIT BESAR,400000,BUKITJALIL,Apartments,1487 sq.ft.,3 Bedrooms,2 Bathrooms
Condo 1772 SF 3r2b at Rainz Jalil Bukit Jalil,891000,BUKITJALIL,Apartments,1772 sq.ft.,3 Bedrooms,2 Bathrooms
ID Design and Fully Furnish Unit The Park Sky Residence Bukit Jalil,988000,BUKITJALIL,Apartments,1112 sq.ft.,3 Bedrooms,2 Bathrooms
Nicely Unit ID Design Fully Furnish The Park Sky Residence Bukit Jalil,995000,BUKITJALIL,Apartments,1109 sq.ft.,3 Bedrooms,2 Bathrooms
Fully Furnish ID Design The Park Sky Residence Bukit Jalil Pavilion 2,990000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
ID Design Fully/F The Park Sky Residence Bukit Jalil Beside Pavilion 2,1000000,BUKITJALIL,Apartments,1108 sq.ft.,3 Bedrooms,2 Bathrooms
The Park Sky Residence Bukit Jalil Next Pavilion 2 F/Furnish ID Design,980000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Casa Green Bukit Jalil nice unit corner lot,500000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Wts/For Sale Z Residence Bukit Jalil,610000,BUKITJALIL,Apartments,1190 sq.ft.,3 Bedrooms,2 Bathrooms
"[Freehold][Good for investment] Pangsapuri Seri Rakyat, Bukit Jalil",240000,BUKITJALIL,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
"The Z Residence Bukit Jalil, Fully Renovated, Good Condition",699000,BUKITJALIL,Apartments,1407 sq.ft.,3 Bedrooms,2 Bathrooms
[Reno|BMV]* Arena Green Apartment Fullloan walk2 LRT EZLoan,328000,BUKITJALIL,Apartments,878 sq.ft.,3 Bedrooms,2 Bathrooms
"Bukit OUG Condo, ( Fully Renovated ) ( 3+1 Room ) 1448SQF Bukit Jalil",438000,BUKITJALIL,Apartments,1448 sq.ft.,4 Bedrooms,2 Bathrooms
Bukit OUG Condominium (Corner Lot) For Sale !!!!!,487000,BUKITJALIL,Apartments,1465 sq.ft.,4 Bedrooms,2 Bathrooms
All Running AI System Now !! Walk To LRT/Shopping Mall !! High Rental,210000,BUKITJALIL,Apartments,330 sq.ft.,1 Bedroom,1 Bathroom
"RENOVATED, FREEHOLD - The Andes Condo, Bukit Jalil, KL",600000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"Anjung Hijau Condo , Hot Selling , Fast Buy , Bukit Jalil KL",450000,BUKITJALIL,Apartments,1117 sq.ft.,3 Bedrooms,2 Bathrooms
[*BMV *Full Furnished Reno] Vista Komanwel A Condominium Bukit Jalil,420000,BUKITJALIL,Apartments,1225 sq.ft.,3 Bedrooms,2 Bathrooms
Apartment Near to New Pavillion Bukit Jalil,380000,BUKITJALIL,Apartments,895 sq.ft.,3 Bedrooms,2 Bathrooms
$cash back$ bukit jalil full loan arena green,338000,BUKITJALIL,Apartments,880 sq.ft.,3 Bedrooms,2 Bathrooms
"1688sf - BIG UNIT Kinrara Mas Condo, Bukit Jalil ( big terrace garden)",585000,BUKITJALIL,Apartments,1688 sq.ft.,4 Bedrooms,2 Bathrooms
The Z Residence Bukit Jalil Top Floor,610000,BUKITJALIL,Apartments,1190 sq.ft.,3 Bedrooms,2 Bathrooms
Casa Green Bukit Jalil 1003sf 3r3b Near MRT 100%LOAN+Cashback Nice,470000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
"Pangsapuri Sri Nilam, Bandar Baru Ampang",168000,BUKITJALIL,Apartments,628 sq.ft.,3 Bedrooms,2 Bathrooms
Sri rakyat apartment near pavilion 2 shopping mall,170000,BUKITJALIL,Apartments,650 sq.ft.,3 Bedrooms,1 Bathroom
[3 Car Parks] Casa Green Bukit Jalil Near LRT Muhibbah Partly Renovate,545000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
"【Below MV~18% , 100% Loan】 Jalil Damai Apartment , Pavilion 2",393000,BUKITJALIL,Apartments,925 sq.ft.,3 Bedrooms,2 Bathrooms
"Z Residence, Fully Renovated. Partially furnished. Move in condition",630000,BUKITJALIL,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
THE RAINZ CONDO BUKIT JALIL KL 1513sqft (GOOD CONDITION)[BELOW MARKET],975000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
Freehold Kinrara Mas Condominium Bukit Jalil near IoI,440000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,3 Bathrooms
The Treez Bukit Jalil Residence Nice Unit P/F Beside Pavilion 2,1215000,BUKITJALIL,Apartments,1710 sq.ft.,3 Bedrooms,4 Bathrooms
Great Unit P/Furnish The Treez Bukit Jalil Residence Beside Pavilion 2,1190000,BUKITJALIL,Apartments,1705 sq.ft.,3 Bedrooms,4 Bathrooms
Beautiful View The Treez Bukit Jalil Residence Next To Pavilion 2,1200000,BUKITJALIL,Apartments,1708 sq.ft.,3 Bedrooms,4 Bathrooms
Nicely Unit The Treez Bukit Jalil Residence Opposite Pavilion 2,1185000,BUKITJALIL,Apartments,1700 sq.ft.,3 Bedrooms,4 Bathrooms
Bumi Lot Fully Furnished 1003sqft Casa Green Condo Bukit Jalil,540000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Bukit Jalil Condo pavillion tropika sky luxe 0% downpayment,917000,BUKITJALIL,Apartments,1328 sq.ft.,3 Bedrooms,3 Bathrooms
Furnished Apartment Kinrara Mas Condominium,365000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
The Andes Condo Bukit Jalil private lif 4rooms freehold cheap,729000,BUKITJALIL,Apartments,1324 sq.ft.,4 Bedrooms,3 Bathrooms
"Bukit Jalil, Arena Green (Neaby LRT Bukit Jalil)",338000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
"Z Residence Bukit Jali, Renovated, Fully Furnished",750000,BUKITJALIL,Apartments,1300 sq.ft.,3 Bedrooms,2 Bathrooms
"Z Residence Condo , Hot Selling , Nice Location , Bukit Jalil KL",573000,BUKITJALIL,Apartments,1232 sq.ft.,3 Bedrooms,2 Bathrooms
[Near LRT BKT JALIL/HIGH LEVEL] Endah Promenade Residence,580000,BUKITJALIL,Apartments,1279 sq.ft.,4 Bedrooms,2 Bathrooms
Bukit Jalil Arena Green Freehold Apartment Fully Furnish 3aircond,345000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
Near LRT Freehold Super Good Condition Kinrara Mas Bukit Jalil Condo,378000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
"Arena Green Condo , Hot Selling , Nice Price , Bukit Jalil KL",308000,BUKITJALIL,Apartments,882 sq.ft.,3 Bedrooms,2 Bathrooms
Bukit Jalil Condominium,428800,BUKITJALIL,Apartments,735 sq.ft.,2 Bedrooms,2 Bathrooms
Casa Green Bukit Jalil 1003sf RENOVATED 2CarPark 100% LOAN Below MV,485000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Walking Distance 150M LRT)New Pre Launching Condo In KL 62+facilities,220000,BUKITJALIL,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
"Arena Green Condo , Best Price , Nice Unit , Furnish , Bukit Jalil KL",305000,BUKITJALIL,Apartments,882 sq.ft.,3 Bedrooms,2 Bathrooms
"Z Residence Condo , Nice Location , Hot Area",665000,BUKITJALIL,Apartments,1400 sq.ft.,3 Bedrooms,2 Bathrooms
"VISTA KOMANWEL A, BUKIT JALIL [ 1377 sq.ft ]",450000,BUKITJALIL,Apartments,1377 sq.ft.,3 Bedrooms,2 Bathrooms
"RESIDENSI ANDES RIA, BUKIT JALIL [ 1324 sq.ft ]",729000,BUKITJALIL,Apartments,1324 sq.ft.,3 Bedrooms,3 Bathrooms
[HIGH tech]SOHO transit KLCC area[below market price 50%]60+facilities,220000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
The Havre Condominium Bukit Jalil Kuala Lumpur Nice View,650000,BUKITJALIL,Apartments,1023 sq.ft.,3 Bedrooms,3 Bathrooms
Arena Green Condominium,288000,BUKITJALIL,Apartments,786 sq.ft.,2 Bedrooms,2 Bathrooms
CORNER Casa Green [RENOVATED🔥BELOWMARKET KITCHENCAB kiara 2 NrLRT],500000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Below Market 20% | Residensi Renai Jalil The Rainz Bukit Jalil 1772sf,891000,BUKITJALIL,Apartments,1772 sq.ft.,5 Bedrooms,4 Bathrooms
"3bed2bath 1,200sqft| FREEHOLD Condo| Near KL| Fully Residence Tittle",371480,BUKITJALIL,Apartments,1200 sq.ft.,3 Bedrooms,2 Bathrooms
WALKING DISTANCE TO LRT! Green Avenue Condominium Bukit Jalil,439000,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
0% DOWNPAYMENT Green Avenue Condo 1080SF Bukit Jalil 4R2B BELOW MV,420000,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
Condo FOR SALE! Walking Distance to LRT!! Near PAVLLION Bukit Jalil!!,419000,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
Arena Green 825sf Bukit Jalil 1 Car Park 100% FULL LOAN RENOVATED,290000,BUKITJALIL,Apartments,825 sq.ft.,3 Bedrooms,2 Bathrooms
"[ Must View ] Mutiara Serdang 3R2B , Free Legal , 0% DP 100% Full Loan",330000,BUKITJALIL,Apartments,940 sq.ft.,3 Bedrooms,2 Bathrooms
FOR SALE- Below Market Value [ Kiara Residence Bukit Jalil ],460000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Anjung Hijau Greenfields Apartment Bukit Jalil,380000,BUKITJALIL,Apartments,994 sq.ft.,2 Bedrooms,2 Bathrooms
The Havre Bukit Jalil Beside Pavilion 2 Fully Furnish Fully ID Design,630000,BUKITJALIL,Apartments,1080 sq.ft.,3 Bedrooms,3 Bathrooms
The Havre Klcc View Bukit Jalil F/Furnish ID Design Beside Pavilion 2,620000,BUKITJALIL,Apartments,1070 sq.ft.,3 Bedrooms,3 Bathrooms
Nice Unit The Havre Bukit Jalil Fully Furnish ID Design Next Pavilion,600000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,3 Bathrooms
Beautiful KLCC VIEW The Havre Bukit Jalil Fully Furnish and ID Design,610000,BUKITJALIL,Apartments,1060 sq.ft.,3 Bedrooms,3 Bathrooms
"[below market 19%] The Rainz, Bukit Jalil, KL",891000,BUKITJALIL,Apartments,1772 sq.ft.,5 Bedrooms,4 Bathrooms
[100% LOAN+CASHBACK] Arena Green Bukit Jalil 879SF FREEHOLD STRATA,290000,BUKITJALIL,Apartments,879 sq.ft.,3 Bedrooms,2 Bathrooms
"[CONFIRM BERBALOI! ]RENOVATED Apartment LTAT Bukit Jalil, KL (950SF)",290000,BUKITJALIL,Apartments,915 sq.ft.,3 Bedrooms,2 Bathrooms
"[ 0 DP ] [ 100% Loan ] [ Ready Move In ] Mutiara Serdang , Walk to MRT",330000,BUKITJALIL,Apartments,936 sq.ft.,3 Bedrooms,2 Bathrooms
Bukit Jalil Link2 Nice Corner unit for sale,850000,BUKITJALIL,Apartments,971 sq.ft.,3 Bedrooms,2 Bathrooms
LEVEL 1 Kinrara Ria Apartment Bandar Kinrara 815 sqft,280000,BUKITJALIL,Apartments,815 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Facing Golf View [ Below market Value ] Bukit Jalil,335000,BUKITJALIL,Apartments,868 sq.ft.,3 Bedrooms,2 Bathrooms
LEVEL 1 Kinrara Ria Apartment Bandar Kinrara 815 sqft,280000,BUKITJALIL,Apartments,815 sq.ft.,3 Bedrooms,2 Bathrooms
LRT Good Investment KLCC Below Market Value 30% Linked-Bridge to LRT,200000,BUKITJALIL,Apartments,350 sq.ft.,1 Bedroom,1 Bathroom
0% Downpayment KINRARA MAS CONDO BANDAR KINRARA PUCHONG [B MARKET ],355000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
[Lowest Price PSF] Bukit Jalil Below Market Value Condo,500000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
"[ 0 DP ] [ Full Loan ] Mutiara Serdang 3R2b, Free All Fee , Bln 1200++",330000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
The Rainz Condo 4r3b2c f/f near lrt muhibbah for sale (best deal),943000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
FACING GOLF Service Apartment Berjaya Link 2 Bukit Jalil KL,950000,BUKITJALIL,Apartments,1216 sq.ft.,3 Bedrooms,2 Bathrooms
"Parkhill residence, bukit jalil [ NEW+ BELOW MARKET ]",475000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"BUKIT JALIL CONDO, Golf view, FREEHOLD, 1320sf, 3 ROOM, Pavilion 2",850000,BUKITJALIL,Apartments,1320 sq.ft.,3 Bedrooms,3 Bathrooms
"BUKIT JALIL CONDO, FREEHOLD, Golf view, 2 ROOM, 2 CAR PARK, Pavilion 2",540000,BUKITJALIL,Apartments,730 sq.ft.,2 Bedrooms,2 Bathrooms
"【Stamp Duty Free, 100% Loan】 Jalil Damai , Pavilion 2 Bukit Jalil",393000,BUKITJALIL,Apartments,925 sq.ft.,3 Bedrooms,2 Bathrooms
CORNER UNIT NEAR LRT | Casa Green Condominium Bukit Jalil Kuala Lumpur,500000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Bukit Jalil [Luxury Semi-D] 1400sf 4R+3B /Below Market Full Furniture,340000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
Kiara Residence 1 Bukit Jalil KL 1050sf 3Rooms LEASEHOLD BELOW MARKET,540000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"The Link 2 Bukit Jalil Golf View Near Pavillion 2, stadium, IMU, TPM",815000,BUKITJALIL,Apartments,1218 sq.ft.,3 Bedrooms,2 Bathrooms
Kiara Residence 2 Bukit Jalil Below Market Price,665000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
"Kiara Residence 2 Near LRT, OUG, Pavillion 2, OUG, Bukit Jalil",540000,BUKITJALIL,Apartments,1073 sq.ft.,3 Bedrooms,2 Bathrooms
"Bukit Jalil Kiara Residence 2 Near LRT, Pavillion 2, OUG, sri petaling",630000,BUKITJALIL,Apartments,1239 sq.ft.,4 Bedrooms,3 Bathrooms
"Anjung hijau greenfields apartment, bukit jalil (golf course view)",380000,BUKITJALIL,Apartments,994 sq.ft.,2 Bedrooms,2 Bathrooms
"KM1 West Condo, 1355sf, Bukit Jalil, 2 Parking",747000,BUKITJALIL,Apartments,1455 sq.ft.,4 Bedrooms,3 Bathrooms
"Renovated The Andes Condo, Bukit Jalil",600000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"BUkit OUG Condo, Near LRT, Bukit Jalil",240000,BUKITJALIL,Apartments,775 sq.ft.,1 Bedroom,1 Bathroom
"BUkit OUG Condo, Near LRT, Bukit Jalil",230000,BUKITJALIL,Apartments,775 sq.ft.,1 Bedroom,1 Bathroom
"The havre, bukit jalil [ READY MOVE IN+ BELOW MARKET PRICE ]",520000,BUKITJALIL,Apartments,1023 sq.ft.,3 Bedrooms,3 Bathrooms
"The havre, bukit jalil city [ BRAND NEW+BL MARKET ]",510000,BUKITJALIL,Apartments,1023 sq.ft.,3 Bedrooms,3 Bathrooms
Bukit OUG Condominium Bukit Jalil For Sale,360000,BUKITJALIL,Apartments,1200 sq.ft.,3 Bedrooms,2 Bathrooms
"Green avenue condominium, bukit jalil, kuala lumpur",440000,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
"Apartment LTAT Block C, Taman LTAT, Jalan Bukit Jalil Indah 1",235000,BUKITJALIL,Apartments,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Vista Kommanel A condo, Jalan Jalil Perkasa,19,KL",455000,BUKITJALIL,Apartments,1206 sq.ft.,3 Bedrooms,2 Bathrooms
[ 2 Parking & F/Hold] The Andes Condo Kinrara Puchong Bukit Jalil,605000,BUKITJALIL,Apartments,1350 sq.ft.,3 Bedrooms,3 Bathrooms
Anjung Hijau Apartment / Greenfields Apartment Bukit Jalil,555000,BUKITJALIL,Apartments,994 sq.ft.,3 Bedrooms,2 Bathrooms
"The Sanderson, Bukit Serdang, Duplex Below Market Cashback 50k Reno",640000,BUKITJALIL,Apartments,2000 sq.ft.,3 Bedrooms,3 Bathrooms
Price Guarantee Green Avenue Condo at bukit jalil,399998,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
"{ Ready Move In } Mutiara Serdang 3R2B , 100% Full Loan , Free All Fee",330000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Bukit Jalil Freehold Apartment Fully Furnish near LRT,345000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Apartment Bukit Jalil KL Stadium LRT 100%Loan BELOW MARKET,290000,BUKITJALIL,Apartments,879 sq.ft.,3 Bedrooms,2 Bathrooms
Walking Distance 150M LRT)New Pre Launching Condo In KL 62+facilities,220000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
"The Z Residence Bukit Jalil, Kuala Lumpur",750000,BUKITJALIL,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
Parkhill Residence Bukit Jalil,780000,BUKITJALIL,Apartments,1300 sq.ft.,4 Bedrooms,2 Bathrooms
City Of Green (4 Bed+3 Bath),437400,BUKITJALIL,Apartments,1200 sq.ft.,4 Bedrooms,3 Bathrooms
|100% LOAN| Next Hotspot Bukit Jalil AnjungHijau Golf View,438000,BUKITJALIL,Apartments,1000 sq.ft.,2 Bedrooms,2 Bathrooms
"{ Bulanan 1200++ 0%DP } Mutiara Serdang , Refurbished Unit , FULL Loan",330000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
Duplex Penthouse for Sale in Vista Komanvel A2 Bukit Jalil,700000,BUKITJALIL,Apartments,2486 sq.ft.,5 Bedrooms,3 Bathrooms
PRIVATE LIFT 1325sft The Andes condominium Bukit jalil,615000,BUKITJALIL,Apartments,1325 sq.ft.,3 Bedrooms,3 Bathrooms
Below Market Value + Near To LRT | Vista Komanwel Condo,419000,BUKITJALIL,Apartments,1224 sq.ft.,3 Bedrooms,2 Bathrooms
"[Hot Area] Apartment at Taman LTAT, Bukit Jalil, Kuala Lumpur",290000,BUKITJALIL,Apartments,915 sq.ft.,3 Bedrooms,2 Bathrooms
"(GOLF COURSE VIEW)- Anjung Hijau Greenfields Apartment, Bukit Jalil",380000,BUKITJALIL,Apartments,994 sq.ft.,2 Bedrooms,2 Bathrooms
Link 2 Residence Bukit Jalil walking distance LRT fully furnish,530000,BUKITJALIL,Apartments,667 sq.ft.,2 Bedrooms,1 Bathroom
"Og height condo ,jalan awan Cina,Bukit Jalil",295000,BUKITJALIL,Apartments,935 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEST CORNET UNIT RENOVATED Casa Green Condominium Bukit Jalil 3B3B,500000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
"Renovated anjung hijau greenfields apartment, bukit jalil",499000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"{ Bulanan 1200++ } Mutiara Serdang , Full Loan , FREE ALL FEE , 0% DP",330000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
3km to KLCC Walking Distance 150M LRT ,220000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
Hilltop Spacious Layout Condo From RM1100/Month,320000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
The Z Residence KLCC View 2 Parkings,688168,BUKITJALIL,Apartments,1404 sq.ft.,3 Bedrooms,2 Bathrooms
2 parking 1231sft Kinrara Mas Bukit Jalil FREEHOLD PUCHONG BUKIT OUG,428000,BUKITJALIL,Apartments,1231 sq.ft.,3 Bedrooms,2 Bathrooms
"{ Bln 1200++ | Full Loan } Mutiara Serdang , FREE LEGAL , 500 Booking",330000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
"Free hold renovated unit bukit jalil, old klang road",385000,BUKITJALIL,Apartments,1000 sq.ft.,2 Bedrooms,2 Bathrooms
"FREEHOLD The Andes Condo, Bukit Jalil",600000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
[💥STRATA READY💥] Blok B Apartment Sri Rakyat Bukit Jalil,240000,BUKITJALIL,Apartments,667 sq.ft.,3 Bedrooms,2 Bathrooms
Residensi park condominium for sale near puchong cheras old klang road,950000,BUKITJALIL,Apartments,1103 sq.ft.,3 Bedrooms,2 Bathrooms
"Kinrara Mas Condominium, Bukit Jalil",390000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
Kinrara Mas Jalan Puchong Bukit Jalil Below Market Value,370000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
"Kinrara Mas Condo, Puchong, Bukit Jalil, Kinrara, Bandar Kinrara",390000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
The Rainz Condo Bukit Jalil High Floor Partly Furnished,1050000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
"Sri rakyat apartment, bukit jalil Kuala Lumpur, block a",230000,BUKITJALIL,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Bukit Jalil Freehold Apartment Fully Furnish 3aircond,345000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
{NEW} Bukit Jalil 4 Rooms Freehold Condo MRT LRT Sri Petaling,520000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Parkhill bukit jalil fully furished well kept coner unit balcony,698000,BUKITJALIL,Apartments,1300 sq.ft.,4 Bedrooms,2 Bathrooms
"Below market Savanna Condominium, Bukit Jalil",590000,BUKITJALIL,Apartments,1212 sq.ft.,4 Bedrooms,2 Bathrooms
"Denai sutera apartment, bukit jalil",695000,BUKITJALIL,Apartments,1141 sq.ft.,3 Bedrooms,2 Bathrooms
KLCC/TRX area installment 800,220000,BUKITJALIL,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
Jalil Damai Apartment Bukit Jalil For Sales,450000,BUKITJALIL,Apartments,935 sq.ft.,3 Bedrooms,2 Bathrooms
[MURAH] CORNER UNIT NEAR LRT Endah Promenade condo Bukit Jalil KL,450000,BUKITJALIL,Apartments,1279 sq.ft.,4 Bedrooms,3 Bathrooms
0% DownPayment\FREEHOLD Condo near Bukit Jalil (Full Loan) 1198sqft,431081,BUKITJALIL,Apartments,1198 sq.ft.,3 Bedrooms,2 Bathrooms
[Investor First Choice] Free Instalment ,275000,BUKITJALIL,Apartments,600 sq.ft.,2 Bedrooms,2 Bathrooms
The Andes Condo Bukit Jalil,600000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"[BIG TERRACE & RENOVATED] Kinrara Mas Condo, Bukit Jalil",585000,BUKITJALIL,Apartments,1688 sq.ft.,4 Bedrooms,2 Bathrooms
Full loan- arena green bukit jalil (renovated),319000,BUKITJALIL,Apartments,780 sq.ft.,2 Bedrooms,2 Bathrooms
[RARE UNIT] KINRARA MAS - 2 CARPARK bukit jalil,460000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
Fmco price drop- jalil damai apartment bukit jalil,410000,BUKITJALIL,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated unit with high security,600000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
【HOC】0% Down Payment (FULL LOAN) Condo Mrt near Astro Bukit Jalil,330000,BUKITJALIL,Apartments,915 sq.ft.,3 Bedrooms,2 Bathrooms
Savanna Condominium,650000,BUKITJALIL,Apartments,1216 sq.ft.,4 Bedrooms,3 Bathrooms
"{ 105% F.Loan + Free ALL Fee } Mutiara Serdang 4r2b , Walk 5min MRT",330000,BUKITJALIL,Apartments,1378 sq.ft.,4 Bedrooms,2 Bathrooms
"Facing Golf Course Unit, Anjung Hijau Greenfields Apartment",450000,BUKITJALIL,Apartments,998 sq.ft.,2 Bedrooms,2 Bathrooms
Renovated Unit at Anjung Hijau Greenfields,500000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Paling Murah - Near LRT & KL View - Savanna Condominium Bukit Jalil,590000,BUKITJALIL,Apartments,1212 sq.ft.,4 Bedrooms,3 Bathrooms
"[ Bukit Jalil ] Luxury Condo , Free Furnish with Gated Cashback 30k",325000,BUKITJALIL,Apartments,750 sq.ft.,2 Bedrooms,2 Bathrooms
"READY TO MOVE IN 2022|22x70,1209sqft|FREEHOLD LANDED|TOWNHOUSE NEAR KL",421358,BUKITJALIL,Apartments,1209 sq.ft.,3 Bedrooms,2 Bathrooms
FREEHOLD Luxury Condo|Near KL|Fully Residence Tittle|Ready To Move In,384117,BUKITJALIL,Apartments,1186 sq.ft.,3 Bedrooms,2 Bathrooms
"Below MV !! Kinrara Mas Condominium, Bukit Jalil",488000,BUKITJALIL,Apartments,1231 sq.ft.,4 Bedrooms,2 Bathrooms
"Vista Komanwel B, Jalan Bukit Jalil, Kuala Lumpur (Full Loan)",600000,BUKITJALIL,Apartments,1422 sq.ft.,4 Bedrooms,3 Bathrooms
"【FMCO Best Deal , 100% Loan】 Jalil Damai Apartment , Pavilion 2",398000,BUKITJALIL,Apartments,925 sq.ft.,3 Bedrooms,2 Bathrooms
