Title,Price,Area,Category,Size,Bedrooms,Bathrooms
SMART LIVING HOME Mutiara Merdeka Condominium Ampang Kuala Lumpur,650000,AMPANG,Apartments,1390 sq.ft.,4 Bedrooms,3 Bathrooms
"Impiana condo Ampang, Duplex Corner Penthouse",1780000,AMPANG,Apartments,3735 sq.ft.,5 Bedrooms,5 Bathrooms
FULL LOANCASH BACK SemiFurnish 705sf The Elements Condo Ampang KL City,445000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
BrandNew Complete Hon Residence Ampang 3R3B 5MIN To KLCC Cashback 120K,630000,AMPANG,Apartments,1335 sq.ft.,3 Bedrooms,3 Bathrooms
Impression U Thant U-Thant 931sf Condo Unit for SALE KL City,1650000,AMPANG,Apartments,931 sq.ft.,3 Bedrooms,2 Bathrooms
"Impression U-Thant U Thant Studio Unit for SALE, KL City, Jalan Ampang",1388000,AMPANG,Apartments,728 sq.ft.,1 Bedroom,1 Bathroom
"FULLY FURNISHED Tiara Ampang Condominium, Jalan Ampang 1217sqft",500000,AMPANG,Apartments,1217 sq.ft.,3 Bedrooms,2 Bathrooms
"Near Tesco Ampang, Sri Angsana Hilir, Desa pandan, Ampang Hilir",300000,AMPANG,Apartments,1226 sq.ft.,3 Bedrooms,2 Bathrooms
"Good Invest/Ownstay KLCC Project,Easy to LRT/MRT Station Monthly RM800",200000,AMPANG,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
LOW BOOKING Fully Furnished Studio Megan Ambassy KL City Centre,350000,AMPANG,Apartments,385 sq.ft.,1 Bedroom,1 Bathroom
RENO CANTIK Seri Maya Condo Jelatek Near LRT Setiawangsa 1km to KLCC,690000,AMPANG,Apartments,1325 sq.ft.,3 Bedrooms,2 Bathrooms
Kojaya Condo 923sf 4R2B High floor 1cp Ampang KL,378000,AMPANG,Apartments,923 sq.ft.,3 Bedrooms,2 Bathrooms
KLCC VIEW. BALCONY. BEAUTIFUL ID. F-FURNISHED. WALK-LRT. Suria Jelatek,630000,AMPANG,Apartments,1421 sq.ft.,3 Bedrooms,2 Bathrooms
