area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_url,purpose,city,locality,address,id,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,price_per_sqft
1200.0,Apartment,Residential,3.0,3.0,6000000.0,https://www.bproperty.com/en/property/details-1978114.html,Sale,Dhaka,Mirpur,Ahmed Nagar,bproperty-8199,1,1,1,2,3,3,3,Dhaka,Mirpur,5000.0
1670.0,Apartment,Residential,3.0,3.0,8000000.0,https://www.bproperty.com/en/property/details-1978318.html,Sale,Dhaka,Mirpur,"Eastern Pallabi, Pallabi",bproperty-8200,1,1,1,1,3,1,3,Dhaka,Mirpur,4790.419161676647
1250.0,Apartment,Residential,4.0,3.0,9500000.0,https://www.bproperty.com/en/property/details-1978857.html,Sale,Dhaka,Bashundhara R-A,Block D,bproperty-8201,1,2,2,1,4,2,5,Dhaka,Bashundhara R/A,7600.0
650.0,Apartment,Residential,2.0,2.0,2700000.0,https://www.bproperty.com/en/property/details-1979234.html,Sale,Dhaka,Mirpur,"Block C, Section 12",bproperty-8203,1,1,1,2,1,2,3,Dhaka,Mirpur,4153.846153846154
1190.0,Apartment,Residential,3.0,3.0,5950000.0,https://www.bproperty.com/en/property/details-1983559.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8205,1,2,2,1,3,2,3,Dhaka,Mirpur,5000.0
990.0,Apartment,Residential,3.0,3.0,4700000.0,https://www.bproperty.com/en/property/details-1986604.html,Sale,Dhaka,Mirpur,"Block G, Arambag Residential Area, Pallabi",bproperty-8206,1,1,1,2,4,3,3,Dhaka,Mirpur,4747.474747474747
1400.0,Apartment,Residential,3.0,3.0,7000000.0,https://www.bproperty.com/en/property/details-1983558.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8207,1,1,2,1,4,3,3,Dhaka,Mirpur,5000.0
2400.0,Apartment,Residential,4.0,3.0,14500000.0,https://www.bproperty.com/en/property/details-2024906.html,Sale,Dhaka,Bashundhara R-A,Block F,bproperty-8236,1,1,1,1,3,2,3,Dhaka,Bashundhara R/A,6041.666666666667
2455.0,Apartment,Residential,3.0,4.0,19000000.0,https://www.bproperty.com/en/property/details-1828289.html,Sale,Dhaka,Bashundhara R-A,Block C,bproperty-8239,1,2,1,1,3,1,2,Dhaka,Bashundhara R/A,7739.3075356415475
1000.0,Apartment,Residential,2.0,3.0,6800000.0,https://www.bproperty.com/en/property/details-1829195.html,Sale,Dhaka,Adabor,Baitul Aman Housing Society,bproperty-8240,1,1,2,1,5,3,2,Dhaka,Mohammadpur,6800.0
1455.0,Apartment,Residential,3.0,3.0,9800000.0,https://www.bproperty.com/en/property/details-1829483.html,Sale,Dhaka,Adabor,Baitul Aman Housing Society,bproperty-8241,2,1,2,1,6,3,2,Dhaka,Mohammadpur,6735.395189003437
1296.0,Apartment,Residential,3.0,3.0,6750000.0,https://www.bproperty.com/en/property/details-1829589.html,Sale,Dhaka,Mirpur,"Shah Ali Bag, Section 1",bproperty-8242,1,2,2,1,2,2,2,Dhaka,Mirpur,5208.333333333333
1775.0,Apartment,Residential,3.0,3.0,14200000.0,https://www.bproperty.com/en/property/details-1830832.html,Sale,Chattogram,Khulshi,Unknown,bproperty-8243,1,2,3,2,1,3,4,Chattogram,Chattogram City,8000.0
1600.0,Apartment,Residential,3.0,3.0,12000000.0,https://www.bproperty.com/en/property/details-1792111.html,Sale,Dhaka,Banasree,Block G,bproperty-8244,1,1,2,1,3,2,2,Dhaka,Khilgaon,7500.0
2320.0,Apartment,Residential,4.0,4.0,23000000.0,https://www.bproperty.com/en/property/details-1850943.html,Sale,Dhaka,Bashundhara R-A,Block J,bproperty-8246,1,3,1,1,3,3,3,Dhaka,Bashundhara R/A,9913.793103448275
2100.0,Apartment,Residential,4.0,3.0,24000000.0,https://www.bproperty.com/en/property/details-1850655.html,Sale,Dhaka,Mirpur,"Avenue 6, Mirpur Dohs",bproperty-8247,1,1,1,1,3,1,3,Dhaka,Mirpur,11428.57142857143
1600.0,Apartment,Residential,3.0,4.0,7500000.0,https://www.bproperty.com/en/property/details-1852884.html,Sale,Dhaka,Mirpur,Rupnagar R/A,bproperty-8248,1,1,1,1,3,2,3,Dhaka,Mirpur,4687.5
1250.0,Apartment,Residential,3.0,3.0,5500000.0,https://www.bproperty.com/en/property/details-1852506.html,Sale,Dhaka,Mirpur,"Eastern Housing, Pallabi",bproperty-8249,1,1,1,1,3,3,3,Dhaka,Mirpur,4400.0
1750.0,Apartment,Residential,3.0,3.0,15000000.0,https://www.bproperty.com/en/property/details-1853740.html,Sale,Dhaka,Bashundhara R-A,Block F,bproperty-8250,1,3,1,2,3,3,3,Dhaka,Bashundhara R/A,8571.42857142857
1425.0,Apartment,Residential,3.0,3.0,9000000.0,https://www.bproperty.com/en/property/details-1865358.html,Sale,Dhaka,Rampura,"Bou Bazar, East Hazipara, East Rampura",bproperty-8251,1,2,2,2,4,3,6,Dhaka,Khilgaon,6315.789473684211
1705.0,Apartment,Residential,3.0,3.0,12000000.0,https://www.bproperty.com/en/property/details-1873665.html,Sale,Dhaka,Badda,Middle Badda,bproperty-8252,5,2,3,1,4,3,3,Dhaka,Badda,7038.123167155425
980.0,Apartment,Residential,3.0,3.0,5200000.0,https://www.bproperty.com/en/property/details-1874831.html,Sale,Dhaka,Mirpur,Middle Paikpara,bproperty-8253,1,2,3,1,3,2,4,Dhaka,Mirpur,5306.122448979592
1650.0,Apartment,Residential,3.0,3.0,15000000.0,https://www.bproperty.com/en/property/details-1874103.html,Sale,Dhaka,Bashundhara R-A,Block G,bproperty-8254,1,2,1,1,3,1,3,Dhaka,Bashundhara R/A,9090.90909090909
1450.0,Apartment,Residential,3.0,3.0,7000000.0,https://www.bproperty.com/en/property/details-1873867.html,Sale,Dhaka,Badda,Unknown,bproperty-8255,2,2,2,1,3,3,5,Dhaka,Badda,4827.586206896552
1850.0,Apartment,Residential,4.0,3.0,16000000.0,https://www.bproperty.com/en/property/details-1874665.html,Sale,Dhaka,Bashundhara R-A,Block D,bproperty-8256,1,1,1,1,3,3,3,Dhaka,Bashundhara R/A,8648.648648648648
628.0,Apartment,Residential,2.0,2.0,2826000.0,https://www.bproperty.com/en/property/details-1875090.html,Sale,Dhaka,Kafrul,Unknown,bproperty-8257,1,1,2,1,1,2,4,Dhaka,Mirpur,4500.0
1300.0,Apartment,Residential,3.0,3.0,5000000.0,https://www.bproperty.com/en/property/details-1874834.html,Sale,Chattogram,Bayazid,"Momin Bagh R/A, Ali Nagar",bproperty-8258,1,2,1,2,1,1,3,Chattogram,Chattogram City,3846.153846153846
750.0,Apartment,Residential,2.0,2.0,3200000.0,https://www.bproperty.com/en/property/details-1895212.html,Sale,Dhaka,Mohammadpur,"Block C, Dhaka Uddan",bproperty-8259,1,1,2,1,1,3,4,Dhaka,Mohammadpur,4266.666666666667
1560.0,Apartment,Residential,3.0,4.0,8580000.0,https://www.bproperty.com/en/property/details-1904909.html,Sale,Dhaka,Mirpur,Section 10,bproperty-8260,1,2,2,1,2,3,4,Dhaka,Mirpur,5500.0
1400.0,Apartment,Residential,3.0,3.0,7000000.0,https://www.bproperty.com/en/property/details-1908457.html,Sale,Chattogram,Double Mooring,"Shantibag Residential Area, 24 No. North Agrabad Ward",bproperty-8261,1,1,1,1,1,3,4,Chattogram,Chattogram City,5000.0
1305.0,Apartment,Residential,3.0,3.0,13899999.999999998,https://www.bproperty.com/en/property/details-1918213.html,Sale,Dhaka,Badda,Unknown,bproperty-8262,1,1,2,1,4,2,4,Dhaka,Badda,10651.34099616858
1305.0,Apartment,Residential,3.0,3.0,11200000.000000002,https://www.bproperty.com/en/property/details-1918209.html,Sale,Dhaka,Badda,Unknown,bproperty-8263,1,1,2,1,4,2,4,Dhaka,Badda,8582.375478927204
1200.0,Apartment,Residential,3.0,3.0,6600000.0,https://www.bproperty.com/en/property/details-1901909.html,Sale,Dhaka,Cantonment,Unknown,bproperty-8264,1,1,1,1,3,1,3,Dhaka,Dhaka Cantonment,5500.0
1851.0,Apartment,Residential,3.0,3.0,13899999.999999998,https://www.bproperty.com/en/property/details-1934151.html,Sale,Dhaka,Bashundhara R-A,Block E,bproperty-8265,1,2,1,2,4,1,5,Dhaka,Bashundhara R/A,7509.454349000539
